Name,Symbol,Price,Volume,MarketCap,New
VODAFONE IDEA LIMITED,IDEA.NS,8.88,544256130,962086174720,
JAIPRAKASH POWER VEN. LTD,JPPOWER.NS,14.91,93610286,102244548608,
FILATEX FASHIONS LIMITED,FILATFASH.NS,0.16,75103796,1377899904,
GTL INFRA.LTD,GTLINFRA.NS,1.02,51839164,13065293824,
INDIAN OIL CORP LTD,IOC.NS,138.7,30507673,1958615711744,
IDBI BANK LIMITED,IDBI.NS,67.07,28217904,721233641472,
IDFC FIRST BANK LIMITED,IDFCFIRSTB.NS,62.09,24088358,534049062912,
HINDUSTAN CONSTRUCTION CO,HCC.NS,14.69,23594151,38479982592,
GAIL (INDIA) LTD,GAIL.NS,137.67,22821446,905191161856,
CANARA BANK,CANBK.NS,133.15,22308695,1207757176832,
INDIAN RAILWAY FIN CORP L,IRFC.NS,92.87,22199227,1213907337216,
ADANI POWER LTD,ADANIPOWER.NS,150.11,21759041,2895027896320,
DHARAN INFRA-EPC LIMITED,DHARAN.NS,0.13,20639777,715514304,
HFCL LIMITED,HFCL.NS,69.58,18079457,106470440960,
JYOTI STRUCTURES LTD,JYOTISTRUC.NS,10.28,17451225,12270823424,
BAJAJ HOUSING FINANCE LTD,BAJAJHFL.NS,78.75,17378290,655882125312,
ASHOK LEYLAND LTD,ASHOKLEY.NS,167.13,16355595,981697298432,
BILLIONBRAINS GARAGE VN L,GROWW.NS,161.32,16258084,1012056588288,
EASY TRIP PLANNERS LTD,EASEMYTRIP.NS,6.63,15766520,24112336896,
GMR AIRPORTS LIMITED,GMRAIRPORT.NS,89.02,15093522,939959975936,
AURI GROW INDIA LIMITED,AURIGROW.NS,0.28,15083986,186547200,
DISH TV INDIA LTD.,DISHTV.NS,2.08,14590594,3839435264,
BHARAT COKING COAL LTD,BHARATCOAL.NS,31.45,13534057,0,
BAJAJ HINDUSTHAN SUGAR LT,BAJAJHIND.NS,15.67,12328004,19512993792,
IFCI LTD,IFCI.NS,52.02,11949480,140370198528,
DCX SYSTEMS LIMITED,DCXINDIA.NS,171.07,11260045,19058812928,
JAIN IRRIGATION SYSTEMS,JISLJALEQS.NS,29.63,10309610,21733619712,
INOX WIND LIMITED,INOXWIND.NS,77.91,10204698,134723313664,
INDIAN RENEWABLE ENERGY,IREDA.NS,114.37,9442393,321291812864,
FISCHER MEDICAL VENTURE L,FISCHER.NS,35.33,9353137,23066195968,
CUPID LIMITED,CUPID.NS,80.55,9352538,108430663680,
ITC HOTELS LIMITED,ITCHOTELS.NS,145.27,8906993,302593966080,
AVENUESAI LIMITED,CCAVENUE.NS,13.57,8771554,47237435392,
BANDHAN BANK LIMITED,BANDHANBNK.NS,149.99,8123440,241629741056,
CENTRAL BANK OF INDIA,CENTRALBK.NS,33.06,7744745,299399348224,
BELRISE INDUSTRIES LTD,BELRISE.NS,193.66,7674814,172334006272,
ATAL REALTECH LIMITED,ATALREAL.NS,21.88,7546282,2710849792,
IRB INFRA DEV LTD.,IRB.NS,40.63,7025018,245364572160,
ALLCARGO LOGISTICS LTD,ALLCARGO.NS,7.63,6922723,11439028224,
APOLLO MICRO SYSTEMS LTD,APOLLO.NS,199.73,6922121,75115094016,
J & K BANK LTD.,J&KBANK.NS,113.1,6459222,124543737856,
BRIGHTCOM GROUP LIMITED,BCG.NS,8.17,6316803,16506985472,
FINO PAYMENTS BANK LTD,FINOPB.NS,112.46,6305921,9362316288,
ALOK INDUSTRIES LIMITED,ALOKINDS.NS,12.63,6288463,62710984704,
INOX GREEN ENERGY SER LTD,INOXGREEN.NS,138.86,6211132,55780732928,
INDIAN OVERSEAS BANK,IOB.NS,32.44,6024298,625029545984,
INDIAN ENERGY EXC LTD,IEX.NS,119.62,5993719,106378100736,
BANK OF INDIA,BANKINDIA.NS,146.33,5827969,666191855616,
ADITYA BIRLA FASHION & RT,ABFRL.NS,58.13,5824737,70708609024,
EMBASSY DEVELOPMENTS LTD,EMBDL.NS,43.14,5806207,59966042112,
EDELWEISS FIN SERV LTD,EDELWEISS.NS,103.76,5788279,98287869952,
IOL CHEM AND PHARMA LTD,IOLCP.NS,77.17,5618759,22651518976,
CASTROL INDIA LIMITED,CASTROLIND.NS,173.78,5429720,171889688576,
IRCON INTERNATIONAL LTD,IRCON.NS,118.62,4898244,111563972608,
EQUITAS SMALL FIN BNK LTD,EQUITASBNK.NS,56.0,4892427,63953469440,
INDRAPRASTHA GAS LTD,IGL.NS,149.89,4832671,210040373248,
CENTRUM CAPITAL LIMITED,CENTRUM.NS,27.87,4801976,12499240960,
INDIABULLS LIMITED,IBULLSLTD.NS,9.39,4795189,21809475584,
ELECTROSTEEL CASTINGS LTD,ELECTCAST.NS,74.92,4475985,46358933504,
ORIENT GREEN POWER CO LTD,GREENPOWER.NS,8.91,4394422,10460776448,
JAYASWAL NECO INDUSTR LTD,JAYNECOIND.NS,72.05,4300465,69968068608,
ASIAN GRANITO IND. LTD.,ASIANTILES.NS,55.94,4168884,16633469952,
AWL AGRI BUSINESS LIMITED,AWL.NS,180.14,3962433,233528934400,
FINEOTEX CHEMICAL LIMITED,FCL.NS,21.29,3800154,24833460224,
GACM TECHNOLOGIES LIMITED,GATECH.NS,0.45,3372598,584450944,
DCW LTD,DCW.NS,40.27,3312409,14050017280,
ALGOQUANT FINTECH LIMITED,ALGOQUANT.NS,52.51,3297567,14760351744,
VALOR ESTATE LIMITED,DBREALTY.NS,93.14,3195326,50519769088,
JAI BALAJI INDUSTRIES LTD,JAIBALAJI.NS,58.24,3177535,53129527296,
EXCEL REALTY N INFRA LTD,EXCEL.NS,1.01,3161289,1435126656,
HSG & URBAN DEV CORPN LTD,HUDCO.NS,169.16,3052612,338641420288,
A B INFRABUILD LIMITED,ABINFRA.NS,16.85,3010612,10763600896,
JINDAL SAW LIMITED,JINDALSAW.NS,181.97,2983668,115986448384,
KELLTON TECH SOL LTD,KELLTONTEC.NS,15.87,2958918,8376260096,
DEVYANI INTERNATIONAL LTD,DEVYANI.NS,102.18,2799139,125981786112,
HATHWAY CABLE & DATACOM,HATHWAY.NS,9.45,2662587,16727486464,
KNR CONSTRU LTD.,KNRCON.NS,112.72,2303258,31704659968,
GATEWAY DISTRIPARKS LTD,GATEWAY.NS,51.27,2263167,25621032960,
JM FINANCIAL LIMITED,JMFINANCIL.NS,120.44,2237433,115184492544,
ENGINEERS INDIA LTD,ENGINERSIN.NS,187.34,2230087,105376727040,
JAMNA AUTO IND LTD,JAMNAAUTO.NS,117.8,2135685,47085973504,
CAPRI GLOBAL CAPITAL LTD,CGCL.NS,169.46,2023693,163046621184,
FCS SOFTWARE SOLN. LTD.,FCSSOFT.NS,1.36,1922312,2324992256,
JTL INDUSTRIES LIMITED,JTLIND.NS,49.46,1880882,19441817600,
GRM OVERSEAS LIMITED,GRMOVER.NS,149.61,1876105,31047645184,
AVANTEL LIMITED,AVANTEL.NS,121.03,1810186,32158984192,
FINOLEX INDUSTRIES LTD,FINPIPE.NS,160.44,1798261,99202285568,
GREAVES COTTON LTD.,GREAVESCOT.NS,131.6,1784023,30650925056,
ADITYA BIRLA LIFES BRAN L,ABLBL.NS,92.03,1779752,111961489408,
BARTRONICS INDIA LIMITED,ASMS.NS,7.58,1654773,2318424832,
LE TRAVENUES TECHNOLOGY L,IXIGO.NS,173.26,1650058,75919671296,
DAVANGERE SUGAR COMPANY L,DAVANGERE.NS,3.86,1641327,5519764480,
KITEX GARMENTS LTD,KITEX.NS,158.39,1624620,31617941504,
GMR POW AND URBAN INFRA L,GMRP&UI.NS,100.69,1615330,78640660480,
DELTA CORP LIMITED,DELTACORP.NS,52.01,1614173,13930766336,
EXICOM TELE SYSTEMS LTD,EXICOM.NS,86.03,1612599,11976244224,
INTEGRA ESSENTIA LIMITED,ESSENTIA.NS,1.19,1605576,1279022080,
DIAMOND POWER INFRA LTD,DIACABS.NS,121.0,1573545,63763501056,
ASHOKA BUILDCON LTD,ASHOKA.NS,110.56,1534299,31053338624,
JSW CEMENT LIMITED,JSWCEMENT.NS,115.05,1515402,154003030016,
DCB BANK LIMITED,DCBBANK.NS,171.54,1478692,55234396160,
CONFIDENCE PETRO IND LTD.,CONFIPET.NS,35.15,1434253,11694248960,
INVENTURE GRO & SEC LTD,INVENTURE.NS,0.95,1414162,997499968,
COFFEE DAY ENTERPRISE LTD,COFFEEDAY.NS,23.04,1374448,4867239424,
AYE FINANCE LIMITED,AYE.NS,103.27,1356850,25249398784,
BLUSPRING ENTERPRISES LTD,BLUSPRING.NS,49.36,1332608,7361178624,
KAMDHENU LIMITED,KAMDHENU.NS,19.68,1300652,5551904256,
JAI CORP LIMITED,JAICORPLTD.NS,96.42,1300636,16935030784,
KESORAM INDUSTRIES LTD,KESORAMIND.NS,8.59,1293341,2668600832,
AQYLON NEXUS LIMITED,AQYLON.NS,59.0,1278529,15002990592,
EXXARO TILES LIMITED,EXXARO.NS,6.98,1277032,3122926592,
GUJ STATE FERT & CHEM LTD,GSFC.NS,148.43,1271314,59146018816,
HINDUSTAN OIL EXPLORATION,HINDOILEXP.NS,125.94,1262245,16654720000,
HI-TECH PIPES LIMITED,HITECH.NS,77.21,1245519,15658206208,
GUJARAT PIPAVAV PORT LTD,GPPL.NS,148.2,1196373,71673348096,
